metric,value,definition
Latest cases,19961057,Step1 deduped case-level records
Case-drug rows,72212791,Step2 standardized drug records
Case-reaction rows,59395334,Step2 standardized reaction records
Drug terms total,702719,Step3 distinct drug terms
Drug rows mapped to InChI,53858885,Step3 structure-linked drug rows
Unique InChIKey,4523,Step4 unique structures
Mapped reaction rows (MedDRA),59395333,Step5 mapped reaction rows
"InChIKey-PT pairs (MedDRA, PS/SS)",2692460,Step5 structure-reaction pairs
Strong signals classic (a>=20),208282,Step6 classic criteria
Strong signals robust (a>=20),208282,Step6 robust EB05/IC025 criteria
